Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,72.970001,74.989998,72.250000,74.360001,73.949348,2312000
2020-04-07,76.610001,77.559998,74.019997,74.029999,73.621178,2458000
2020-04-08,74.169998,77.169998,72.750000,76.690002,76.266487,2703000
2020-04-09,76.430000,78.720001,76.230003,78.330002,77.897430,2399900
2020-04-13,77.440002,77.989998,75.019997,76.209999,75.789139,1533000
2020-04-14,77.300003,79.199997,77.239998,78.830002,78.394676,2650300
2020-04-15,77.440002,78.389999,77.000000,77.050003,76.624496,2721100
2020-04-16,78.059998,78.919998,76.470001,78.750000,78.315109,1969300
2020-04-17,80.089996,80.349998,78.309998,79.550003,79.110695,1313400
2020-04-20,79.050003,79.050003,76.980003,77.370003,76.942734,1679400
2020-04-21,75.760002,75.800003,73.709999,73.750000,73.342728,2848100
2020-04-22,74.750000,75.580002,73.779999,75.169998,74.754875,2347400
2020-04-23,76.599998,77.489998,75.050003,75.089996,74.675316,2097700
2020-04-24,75.620003,75.910004,74.019997,75.750000,75.331673,1654300
2020-04-27,76.349998,76.620003,75.839996,76.250000,75.828911,1295800
2020-04-28,77.000000,77.000000,75.339996,75.449997,75.033325,1855900
2020-04-29,76.300003,79.379997,76.139999,78.720001,78.285271,2409400
2020-04-30,77.959999,78.440002,75.989998,76.660004,76.236656,1795200
2020-05-01,75.550003,76.099998,73.570000,74.209999,73.800171,1618600
2020-05-04,74.279999,74.620003,73.419998,74.559998,74.148247,1555400
2020-05-05,74.910004,77.580002,74.830002,76.370003,75.948257,1476100
2020-05-06,76.690002,78.830002,76.650002,77.870003,77.439972,2303600
2020-05-07,78.769997,79.330002,77.540001,78.500000,78.066483,1190600
2020-05-08,79.669998,80.330002,79.190002,79.709999,79.269814,2255000
2020-05-11,79.599998,81.989998,79.500000,81.269997,80.821190,1691600
2020-05-12,81.580002,82.300003,79.779999,79.849998,79.409035,2278900
2020-05-13,80.379997,81.930000,79.029999,80.160004,79.717323,2664900
2020-05-14,79.290001,81.660004,78.720001,81.639999,81.189148,2285900
2020-05-15,81.510002,82.830002,81.220001,81.589996,81.139420,4529400
2020-05-18,83.239998,84.389999,82.290001,83.660004,83.197998,2076000
2020-05-19,83.230003,83.540001,81.889999,81.970001,81.517334,2099200
2020-05-20,82.980003,82.980003,81.470001,81.709999,81.258759,2748100
2020-05-21,81.720001,82.190002,80.459999,80.750000,80.304062,2576500
2020-05-22,85.000000,87.669998,84.199997,84.980003,84.510712,5063100
2020-05-26,86.230003,86.790001,85.639999,86.129997,85.654343,3173400
2020-05-27,86.300003,86.480003,84.370003,86.180000,85.704086,1917600
2020-05-28,86.870003,87.849998,86.059998,86.690002,86.211266,1908700
2020-05-29,87.169998,88.489998,86.470001,88.139999,87.653252,2394500
2020-06-01,88.040001,89.980003,87.940002,89.910004,89.413483,2477600
2020-06-02,90.000000,90.629997,89.110001,90.290001,89.791382,1682800
2020-06-03,90.650002,91.139999,90.260002,90.489998,89.990273,1382500
2020-06-04,89.820000,91.739998,89.820000,91.139999,90.636688,2227500
2020-06-05,92.129997,93.040001,90.089996,90.379997,89.880882,2844700
2020-06-08,89.309998,90.589996,89.059998,90.290001,89.791382,1804700
2020-06-09,90.089996,90.510002,89.320000,89.769997,89.274246,1817300
2020-06-10,90.320000,90.580002,89.459999,89.809998,89.314034,1410300
2020-06-11,88.629997,88.629997,85.019997,85.029999,84.560425,2491300
2020-06-12,86.830002,87.300003,83.989998,86.110001,85.634468,1520000
2020-06-15,84.400002,87.279999,83.709999,86.959999,86.479774,1551400
2020-06-16,88.879997,89.239998,86.510002,87.440002,86.957115,1049200
2020-06-17,87.849998,88.750000,87.459999,87.919998,87.434471,900800
2020-06-18,87.430000,88.500000,87.260002,88.209999,87.722870,1491500
2020-06-19,89.410004,89.790001,87.760002,88.730003,88.240005,1784700
2020-06-22,88.639999,89.070000,87.769997,88.529999,88.041092,1245500
2020-06-23,89.190002,89.699997,88.660004,89.279999,88.786957,1160300
2020-06-24,89.080002,89.080002,86.320000,86.559998,86.081978,1806600
2020-06-25,86.430000,87.349998,84.800003,87.260002,86.778122,1350100
2020-06-26,87.230003,87.559998,85.519997,85.900002,85.425621,2225800
2020-06-29,86.559998,87.360001,86.110001,87.290001,86.990234,1302500
2020-06-30,87.330002,88.879997,87.239998,88.370003,88.066528,1920200
2020-07-01,88.889999,88.889999,87.300003,88.110001,87.807411,1137000
2020-07-02,88.830002,89.489998,88.550003,88.680000,88.375458,1507700
2020-07-06,89.019997,90.639999,89.019997,89.309998,89.003288,1412200
2020-07-07,88.839996,90.040001,88.669998,89.209999,88.903641,1441700
2020-07-08,89.519997,90.330002,89.129997,89.540001,89.232506,1069600
2020-07-09,89.650002,90.400002,88.559998,89.919998,89.611198,1133800
2020-07-10,89.849998,89.870003,88.570000,89.419998,89.112915,938100
2020-07-13,89.970001,91.239998,88.650002,89.260002,88.953468,1646200
2020-07-14,88.830002,90.790001,88.070000,90.690002,90.378563,1361200
2020-07-15,91.739998,93.059998,91.080002,92.879997,92.561035,1897100
2020-07-16,92.980003,93.209999,92.059998,92.860001,92.541107,1226400
2020-07-17,93.410004,94.510002,92.690002,94.370003,94.045921,3457700
2020-07-20,94.910004,96.220001,94.760002,95.209999,94.883034,1236800
2020-07-21,95.570000,96.449997,95.160004,96.019997,95.690247,2169100
2020-07-22,96.360001,96.879997,95.809998,96.349998,96.019112,1313200
2020-07-23,96.589996,98.089996,96.320000,96.660004,96.328056,1386300
2020-07-24,95.980003,96.220001,93.870003,94.809998,94.484406,1142800
2020-07-27,94.959999,97.540001,94.900002,97.269997,96.935951,1177100
2020-07-28,96.980003,97.250000,95.199997,95.300003,94.972725,1373700
2020-07-29,95.809998,97.660004,95.519997,97.099998,96.766548,1125300
2020-07-30,96.120003,96.360001,94.970001,95.930000,95.600563,1663300
2020-07-31,95.940002,96.410004,94.730003,96.330002,95.999191,1551800
2020-08-03,96.940002,99.360001,96.940002,99.089996,98.749702,1994300
2020-08-04,98.709999,98.989998,96.889999,97.529999,97.195068,779200
2020-08-05,98.089996,98.830002,97.699997,97.889999,97.553825,958300
2020-08-06,97.720001,98.250000,95.809998,97.449997,97.115341,1075300
2020-08-07,97.070000,97.839996,96.870003,97.779999,97.444206,897900
2020-08-10,97.839996,97.959999,96.949997,97.139999,96.806404,900800
2020-08-11,97.220001,97.629997,96.199997,96.300003,95.969292,1137000
2020-08-12,96.660004,98.279999,96.519997,97.629997,97.294716,1318100
2020-08-13,97.550003,99.120003,97.180000,98.769997,98.430809,1190800
