Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,36.919998,39.689999,36.919998,39.689999,39.100273,263300
2020-04-07,40.730000,41.750000,38.200001,38.619999,38.046173,304000
2020-04-08,39.630001,41.820000,39.570000,40.730000,40.124821,283700
2020-04-09,42.169998,43.860001,41.119999,42.529999,41.898075,234000
2020-04-13,41.830002,41.900002,39.380001,40.349998,39.750469,152400
2020-04-14,41.689999,42.090000,40.869999,41.369999,40.755314,166800
2020-04-15,39.459999,40.549999,36.820000,37.200001,36.647274,286200
2020-04-16,37.279999,38.139999,36.189999,37.549999,36.992069,481700
2020-04-17,38.790001,41.139999,38.790001,40.160000,39.563293,228300
2020-04-20,38.759998,39.950001,38.340000,39.540001,38.952503,170400
2020-04-21,38.049999,38.470001,36.709999,37.439999,36.883705,140300
2020-04-22,38.400002,39.110001,37.610001,38.310001,37.740780,230900
2020-04-23,38.320000,38.830002,36.849998,37.570000,37.011772,494300
2020-04-24,40.599998,41.110001,35.590000,36.709999,36.164551,507500
2020-04-27,36.900002,40.060001,36.669998,39.590000,39.001759,300800
2020-04-28,41.150002,41.830002,38.720001,38.820000,38.243202,340500
2020-04-29,40.459999,41.209999,39.900002,40.740002,40.134682,422200
2020-04-30,39.610001,39.980000,38.330002,38.380001,37.809742,193100
2020-05-01,37.259998,37.259998,35.520000,36.509998,35.967525,304300
2020-05-04,35.709999,36.200001,35.160000,35.500000,34.972530,339200
2020-05-05,36.410000,36.599998,35.160000,35.580002,35.051350,425500
2020-05-06,35.799999,35.810001,34.520000,34.590000,34.076050,201700
2020-05-07,35.400002,35.759998,34.619999,35.189999,34.667137,286700
2020-05-08,36.349998,37.520000,36.349998,37.480000,36.923115,281900
2020-05-11,36.490002,36.849998,35.360001,36.230000,35.691681,350900
2020-05-12,36.470001,36.830002,34.590000,34.660000,34.145008,323700
2020-05-13,34.020000,34.220001,32.130001,32.660000,32.174728,314500
2020-05-14,32.380001,33.099998,30.709999,33.099998,32.608185,409200
2020-05-15,32.820000,33.509998,32.389999,32.740002,32.253540,405100
2020-05-18,34.619999,36.919998,34.509998,36.720001,36.174408,437200
2020-05-19,36.240002,37.330002,35.529999,35.820000,35.287777,236800
2020-05-20,36.080002,36.770000,35.930000,36.259998,35.721237,292500
2020-05-21,36.049999,36.880001,36.020000,36.139999,35.760822,194000
2020-05-22,36.520000,36.590000,35.360001,35.880001,35.503551,166900
2020-05-26,37.610001,39.220001,36.860001,38.639999,38.234592,507100
2020-05-27,39.799999,41.770000,39.240002,41.630001,41.193218,387700
2020-05-28,42.680000,42.680000,38.980000,39.169998,38.759029,443800
2020-05-29,38.250000,38.450001,36.939999,37.779999,37.383614,381700
2020-06-01,38.169998,39.419998,37.619999,38.540001,38.135639,225700
2020-06-02,39.270000,39.470001,38.680000,38.830002,38.422596,226300
2020-06-03,39.919998,41.959999,39.900002,41.060001,40.629204,261000
2020-06-04,40.540001,43.200001,40.360001,42.720001,42.271782,275400
2020-06-05,45.320000,46.580002,43.970001,44.090000,43.627411,250300
2020-06-08,45.110001,45.450001,44.220001,44.759998,44.290379,207500
2020-06-09,43.570000,44.689999,43.080002,43.950001,43.488880,205500
2020-06-10,44.009998,44.349998,42.660000,42.959999,42.509262,331300
2020-06-11,41.990002,41.990002,37.599998,37.689999,37.294559,393800
