Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,129.862000,144.160995,129.440002,137.423996,137.423996,0
2020-04-03,138.076004,142.787003,136.403000,137.419006,137.419006,0
2020-04-06,138.432007,150.278000,138.382996,148.697006,148.697006,0
2020-04-07,149.052994,154.524994,147.970993,148.102005,148.102005,0
2020-04-08,148.272003,153.570999,148.115005,152.682007,152.682007,0
2020-04-09,153.106995,153.669998,149.949997,151.697006,151.697006,0
2020-04-13,147.227997,147.509003,138.500000,141.313004,141.313004,0
2020-04-14,141.776993,144.524994,141.057999,142.707993,142.707993,0
2020-04-15,142.350006,143.966995,139.529999,139.987000,139.987000,0
2020-04-16,139.891006,147.401001,135.921997,147.281998,147.281998,0
2020-04-17,147.218994,148.932999,146.841995,148.029999,148.029999,0
2020-04-20,151.483994,152.462006,142.962006,144.565994,144.565994,0
2020-04-21,144.630005,145.257004,142.998001,144.436005,144.436005,0
2020-04-22,144.468994,150.128998,143.744003,149.324997,149.324997,0
2020-04-23,149.360001,156.436996,148.617004,155.891998,155.891998,0
2020-04-24,155.998993,158.412994,154.412003,158.082993,158.082993,0
2020-04-27,160.477997,163.029999,160.123001,161.516006,161.516006,0
2020-04-28,161.647003,163.524994,161.647003,163.352005,163.352005,0
2020-04-29,163.005997,182.761002,163.005997,181.886002,181.886002,0
2020-04-30,182.880997,193.733002,175.671997,181.160004,181.160004,0
2020-05-01,181.927994,185.809998,177.690994,180.602997,180.602997,0
2020-05-04,181.494003,183.089005,175.985001,182.233002,182.233002,0
2020-05-05,182.151001,184.914993,180.388000,182.496002,182.496002,0
2020-05-06,182.604996,189.110001,182.192993,187.826004,187.826004,0
2020-05-07,188.264999,196.604996,183.945007,195.832993,195.832993,0
2020-05-08,196.138000,199.656998,194.817993,198.834000,198.834000,0
2020-05-11,174.871994,179.746002,167.796997,173.429993,173.429993,0
2020-05-12,173.289001,179.192993,171.330994,176.910004,176.910004,0
2020-05-13,185.438004,185.895996,184.940994,185.389999,185.389999,0
2020-05-14,191.345001,192.320007,191.335007,192.313995,192.313995,0
2020-05-15,191.345001,193.154999,184.046997,187.272995,187.272995,0
2020-05-18,193.557999,194.024002,193.459000,193.994995,193.994995,0
2020-05-19,193.432007,193.518005,193.145004,193.145004,193.145004,0
2020-05-20,191.207993,191.242004,190.975998,191.169998,191.169998,0
